music_singer	music_name	music_genre	music_bpm	music_musadd	music_melody	music_gender
헤이즈 (Heize)	비도 오고 그래서 (Feat. 신용재)	Rap / Hip-hop	156.44	C:\Users\choi9\Downloads\song\001 헤이즈 (Heize)-04-비도 오고 그래서 (Feat. 신용재).mp3		F
Red Velvet (레드벨벳)	빨간 맛 (Red Flavor)	Dance	124.99	C:\Users\choi9\Downloads\song\002 Red Velvet (레드벨벳)-01-빨간 맛 (Red Flavor).mp3		F
지코 (ZICO)	Artist	Rap / Hip-hop	118.09	C:\Users\choi9\Downloads\song\003 지코 (ZICO)-02-Artist.mp3		M
헤이즈 (Heize)	널 너무 모르고	Rap / Hip-hop	105	C:\Users\choi9\Downloads\song\004 헤이즈 (Heize)-01-널 너무 모르고.mp3		F
BLACKPINK	마지막처럼	Dance	125.01	C:\Users\choi9\Downloads\song\005 BLACKPINK-01-마지막처럼.mp3		F
마마무	나로 말할 것 같으면	Dance	119.99	C:\Users\choi9\Downloads\song\006 마마무-01-나로 말할 것 같으면.mp3		F
볼빨간사춘기/ 스무살	남이 될 수 있을까	Folk	85	C:\Users\choi9\Downloads\song\007 볼빨간사춘기-01-남이 될 수 있을까.mp3		F
황치열	매일 듣는 노래 (A Daily Song)	Ballad	131.89	C:\Users\choi9\Downloads\song\008 황치열-03-매일 듣는 노래 (A Daily Song).mp3		M
Apink (에이핑크)	FIVE	Dance	115.01	C:\Users\choi9\Downloads\song\009 Apink (에이핑크)-01-FIVE.mp3		F
G-DRAGON	무제(無題) (Untitled/ 2014)	R&B / Soul	105.45	"C:\Users\choi9\Downloads\song\010 G-DRAGON-04-무제(無題) (Untitled, 2014).mp3"		M
볼빨간사춘기	처음부터 너와 나	Drama	97.01	C:\Users\choi9\Downloads\song\011 볼빨간사춘기-01-처음부터 너와 나.mp3		F
Ed Sheeran	Shape of You	Pop	123.04	C:\Users\choi9\Downloads\song\012 Ed Sheeran-04-Shape of You.mp3		M
싸이 (PSY)	New Face	Dance	132	C:\Users\choi9\Downloads\song\013 싸이 (PSY)-02-New Face.mp3		M
TWICE (트와이스)	SIGNAL	Dance	104.02	C:\Users\choi9\Downloads\song\014 TWICE (트와이스)-01-SIGNAL.mp3		F
수란 (SURAN)	오늘 취하면 (Feat.창모) (Prod. SUGA)	R&B / Soul	146.03	C:\Users\choi9\Downloads\song\015 수란 (SURAN)-01-오늘 취하면 (Feat.창모) (Prod. SUGA).mp3		MIX
청하	Why Don`t You Know (Feat. 넉살)	Dance	146.4	C:\Users\choi9\Downloads\song\016 청하-02-Why Don`t You Know (Feat. 넉살).mp3		MIX
아이유	팔레트 (Feat. G-DRAGON)	R&B / Soul	101.99	C:\Users\choi9\Downloads\song\017 아이유-02-팔레트 (Feat. G-DRAGON).mp3		MIX
WINNER	REALLY REALLY	Dance	103	C:\Users\choi9\Downloads\song\018 WINNER-01-REALLY REALLY.mp3		M
한동근	미치고 싶다	Ballad	126.11	C:\Users\choi9\Downloads\song\019 한동근-04-미치고 싶다.mp3		M
국민의 아들	NEVER	Dance	110.01	C:\Users\choi9\Downloads\song\020 국민의 아들-05-NEVER.mp3		M
싸이 (PSY)	I LUV IT	Dance	125.01	C:\Users\choi9\Downloads\song\021 싸이 (PSY)-01-I LUV IT.mp3		M
지코 (ZICO)	ANTI (Feat. G.Soul)	Rap / Hip-hop	156.03	C:\Users\choi9\Downloads\song\022 지코 (ZICO)-03-ANTI (Feat. G.Soul).mp3		M
지코 (ZICO)	FANXY CHILD (Feat. FANXY CHILD)	Rap / Hip-hop	144.01	C:\Users\choi9\Downloads\song\023 지코 (ZICO)-04-FANXY CHILD (Feat. FANXY CHILD).mp3		M
아이유	밤편지	Ballad	120.83	C:\Users\choi9\Downloads\song\024 아이유-01-밤편지.mp3		F
효린/ 창모 (CHANGMO)	BLUE MOON (Prod. GroovyRoom)	Dance	107	C:\Users\choi9\Downloads\song\025 효린-01-BLUE MOON (Prod. GroovyRoom).mp3		MIX
윤종신	좋니	Ballad	151.88	C:\Users\choi9\Downloads\song\026 윤종신-01-좋니.mp3		M
씨스타	LONELY	R&B / Soul	85.16	C:\Users\choi9\Downloads\song\027 씨스타-01-LONELY.mp3		F
양홍원 (Young B)	아침에 (Feat. Bryn)	Rap / Hip-hop	105.14	C:\Users\choi9\Downloads\song\028 양홍원 (Young B)-01-아침에 (Feat. Bryn).mp3		MIX
에일리	첫눈처럼 너에게 가겠다	Drama	133.98	C:\Users\choi9\Downloads\song\029 에일리-01-첫눈처럼 너에게 가겠다.mp3		F
언니쓰	맞지?	Dance	129.99	C:\Users\choi9\Downloads\song\030 언니쓰-01-맞지_.mp3		F
마크툽 (MAKTUB)/ 구윤회	Marry Me	Ballad	122.85	C:\Users\choi9\Downloads\song\031 마크툽 (MAKTUB)-01-Marry Me.mp3		M
아이유	사랑이 잘 (With 오혁)	R&B / Soul	130.86	C:\Users\choi9\Downloads\song\032 아이유-01-사랑이 잘 (With 오혁).mp3		MIX
볼빨간사춘기	좋다고 말해	Folk	161.3	C:\Users\choi9\Downloads\song\033 볼빨간사춘기-01-좋다고 말해.mp3		F
TWICE (트와이스)	KNOCK KNOCK	Dance	129.98	C:\Users\choi9\Downloads\song\034 TWICE (트와이스)-01-KNOCK KNOCK.mp3		F
